N,종목명,현재가,전일비,등락률,액면가,시가,고가,매출액
1054.0,미래에셋 레버리지 코스닥150 선물 ETN,22715.0,590.0,-2.53%,0.0,23365.0,23665.0,
1055.0,QV 레버리지 S&P500 ETN,22650.0,255.0,-1.11%,0.0,22775.0,22775.0,
1056.0,동원수산,9720.0,20.0,-0.21%,5000.0,9740.0,9800.0,1446.0
1057.0,센트럴인사이트,2490.0,0.0,0.00%,500.0,0.0,0.0,181.0
1058.0,KODEX 국채선물10년,62035.0,145.0,+0.23%,0.0,61700.0,62035.0,
1059.0,TIGER 글로벌클라우드컴퓨팅INDXX,7815.0,225.0,-2.80%,0.0,7835.0,7860.0,
1060.0,삼성 미국 대형 성장주 ETN,22465.0,0.0,0.00%,0.0,22465.0,22465.0,
1061.0,원림,19450.0,100.0,-0.51%,5000.0,19550.0,19550.0,797.0
1062.0,이스타코,1040.0,25.0,-2.35%,500.0,1050.0,1065.0,71.0
1063.0,케이탑리츠,926.0,7.0,-0.75%,1000.0,935.0,937.0,320.0
1064.0,SUN&L,3525.0,25.0,+0.71%,1000.0,3485.0,3580.0,4653.0
1065.0,QV 코스닥 150 ETN,11065.0,5.0,+0.05%,0.0,11140.0,11140.0,
1066.0,유화증권우,2525.0,0.0,0.00%,1000.0,2525.0,2525.0,
1067.0,미래에셋 인버스 2X 원유선물혼합 ETN(H),17645.0,715.0,+4.22%,0.0,17705.0,17750.0,
1068.0,한화솔루션우,39150.0,450.0,-1.14%,5000.0,39600.0,40300.0,
1069.0,SHD,36150.0,50.0,-0.14%,5000.0,36200.0,36450.0,1048.0
1070.0,KODEX 아시아달러채권SRI플러스액티브,48835.0,10.0,+0.02%,0.0,48780.0,48835.0,
1071.0,ACE 단기채권알파액티브,100080.0,10.0,+0.01%,0.0,100085.0,100095.0,
1072.0,KB 블룸버그 인버스2X 천연가스선물 ETN(H),17300.0,260.0,+1.53%,0.0,16810.0,17300.0,
1073.0,신한 블룸버그 -2X 천연가스 선물 ETN(H),17235.0,235.0,+1.38%,0.0,16855.0,17870.0,
1074.0,미래에셋 S&P -2X 천연가스 선물 ETN(H),17125.0,60.0,+0.35%,0.0,16990.0,17140.0,
1075.0,KODEX 차이나H,15220.0,45.0,-0.29%,0.0,15280.0,15525.0,
1076.0,미래아이앤지,303.0,2.0,-0.66%,100.0,306.0,308.0,78.0
1077.0,TIGER 미국나스닥바이오,20790.0,95.0,-0.45%,0.0,20885.0,20935.0,
1078.0,비비안,1405.0,20.0,-1.40%,500.0,1425.0,1455.0,1879.0
